cow_id,file,geo_dist_hooks,geo_dist_pins,geo_angle_spine,geo_area_hip,pose_tilt,img_back_mean_b,img_back_std_b,img_back_mean_g,img_back_std_g,img_back_mean_r,img_back_std_r,img_back_sift_count,img_hip_mean_b,img_hip_std_b,img_hip_mean_g,img_hip_std_g,img_hip_mean_r,img_hip_std_r,img_hip_sift_count,img_tail_mean_b,img_tail_std_b,img_tail_mean_g,img_tail_std_g,img_tail_mean_r,img_tail_std_r,img_tail_sift_count
1386,RLC2_00_20260101062158_baia9_RLC2.jpg,0.370508323404549,0.1959251486282302,178.14268,0.0907050782512201,1.8274691,72.44625,16.391792487019227,72.455,16.391056250284787,72.42625,16.374585824914778,0,87.1,10.406908762932439,87.1,10.406908762932439,87.071875,10.43817316317252,0,95.943125,17.263795649693463,95.965,17.286013855137337,95.939375,17.29456416361439,0
1386,20260107_064414_baia19_IPC2.jpg,0.4099011049509267,0.19884980489408244,178.52354,0.12526507239538073,-1.9787576,89.770625,13.615129896896873,89.780625,13.632543768841346,89.765625,13.634677970505024,1,96.7625,15.4968494782004,96.79125,15.527843489599578,96.7625,15.518854459978675,2,117.14125,14.351569546133273,117.2225,14.343351900793623,117.154375,14.374910203523884,4
1386,20260103_142304_baia24_VIPWX.jpg,0.3575440134059642,0.17713887889249366,172.21133,0.0862155194326786,4.030005,96.545625,8.495391006856305,96.54875,8.501624752804608,96.535625,8.520122115285378,0,115.35625,12.483212164242824,115.396875,12.507822161926311,115.396875,12.510070552733705,0,89.685,19.237711012487946,89.696875,19.256297417581994,89.654375,19.290960794096673,3
1386,20260109_221606_baia16_IPC1.jpg,0.41904331253105426,0.21083142959654422,177.29224,0.12903793745991604,-2.4065688,64.273125,17.119061824012874,64.32125,17.055330499216367,64.261875,17.094649644972986,0,90.75625,15.313575217352087,90.76375,15.324708347551024,90.75,15.338146889373565,8,82.68125,36.73783333890963,82.739375,36.7018759685302,82.676875,36.745866641492825,12
1386,20260105_145604_baia23_VIPWX.jpg,0.38595547873267033,0.20297050180499102,171.97076,0.11218417531567199,0.16120261,96.86625,20.752219421967858,96.884375,20.77121820836166,96.849375,20.79904894723254,3,116.860625,20.746504515444887,116.92375,20.779778293752315,116.9025,20.802595841625152,2,88.245625,21.366130753118945,88.26875,21.38557395623274,88.2275,21.41017850813019,0
1386,20260110_070212_baia21_IPC2.jpg,0.3400772086408086,0.17049712709589665,174.3193,0.07921160378077037,4.849661,83.22125,4.4312581100066835,83.22125,4.4312581100066835,83.2025,4.463770127369912,0,121.749375,33.10687711200462,121.793125,33.117730564372536,121.780625,33.11780109864444,23,121.0975,43.32094463132123,121.12125,43.33571331404965,121.10375,43.33604718865693,11
1386,RLC2_00_20260108215621_baia8_RLC2.jpg,0.3878454992072619,0.20306606216676465,177.62733,0.10086379316987472,4.18294,84.155625,17.706676872281115,84.1675,17.702526479291027,84.134375,17.728792072766126,27,74.843125,17.90358945112334,74.85625,17.906579403601906,74.816875,17.914786915684346,27,103.75625,29.09796961881533,103.77375,29.112734514942083,103.753125,29.13354471626093,31
1386,20260103_141404_baia24_VIPWX.jpg,0.35013365908893984,0.19182619516314864,172.38719,0.0843410743076095,3.3869119,90.011875,21.799036308616376,90.0225,21.819818829449524,89.98625,21.827558519850545,1,121.755625,15.418524762744815,121.801875,15.417850741409291,121.79125,15.425066399776046,0,103.158125,30.39030472838953,103.18875,30.422165002469825,103.153125,30.42531310823892,4
1386,20260110_065910_baia21_IPC2.jpg,0.3639805723187217,0.14863083002305993,174.27472,0.07124337655423539,4.401262,95.230625,7.1579457324972084,95.230625,7.1579457324972084,95.230625,7.1579457324972084,0,120.8,31.340269622324566,120.841875,31.343290693294716,120.82625,31.340705335673288,11,151.29625,71.09928611412002,151.305625,71.10060455691902,151.300625,71.0991842401119,6
1386,RLC1_00_20260107143058_baia11_RLC1.jpg,0.3987007167392765,0.18636174910714923,178.4049,0.10092669696190466,3.6066437,80.9425,7.684103314636002,80.9425,7.684103314636002,80.888125,7.725484385096834,0,113.429375,28.566348420989602,113.461875,28.60052091281512,113.439375,28.590100115413637,5,110.80875,27.89181642413237,110.829375,27.91082249073601,110.814375,27.920824098858095,6
